observed_utc,first_seen_utc,wind_from_deg,wind_kt,gust_kt,variable,raw
2026-09-18T10:52:00Z,2026-09-18T16:44:24Z,0,0,,,METAR KNZY 181052Z 00000KT 10SM BKN025 BKN036 21/15 A3005 RMK AO2 SLP174 T02110150
2026-09-18T11:52:00Z,2026-09-18T16:44:24Z,290,3,,,METAR KNZY 181152Z 29003KT 10SM BKN028 BKN036 21/15 A3005 RMK AO2 SLP175 T02110150 10211 20206 55002
2026-09-18T12:52:00Z,2026-09-18T16:44:24Z,350,4,,,METAR KNZY 181252Z 35004KT 10SM BKN028 BKN034 21/16 A3005 RMK AO2 SLP175 T02110156
2026-09-18T13:52:00Z,2026-09-18T16:44:24Z,0,0,,,METAR KNZY 181352Z 00000KT 10SM FEW028 BKN034 22/13 A3005 RMK AO2 SLP176 T02170133
2026-09-18T14:52:00Z,2026-09-18T16:44:24Z,30,3,,,METAR KNZY 181452Z 03003KT 10SM FEW025 BKN030 22/14 A3005 RMK AO2 SLP175 T02170139 51001
2026-09-18T15:52:00Z,2026-09-18T16:44:24Z,0,0,,,METAR KNZY 181552Z 00000KT 10SM BKN031 22/14 A3005 RMK AO2 SLP175 T02220139
2026-09-18T16:52:00Z,2026-09-18T19:14:24Z,270,4,,,METAR KNZY 181652Z 27004KT 10SM BKN034 23/14 A3005 RMK AO2 SLP176 T02330139
2026-09-18T17:52:00Z,2026-09-18T19:14:24Z,290,8,,,METAR KNZY 181752Z 29008KT 10SM SCT034 24/14 A3005 RMK AO2 SLP174 T02440144 10244 20211 58001
2026-09-18T18:52:00Z,2026-09-18T19:14:24Z,290,10,,,METAR KNZY 181852Z 29010KT 10SM FEW034 24/14 A3004 RMK AO2 SLP171 T02440144
2026-09-18T19:52:00Z,2026-09-18T21:53:33Z,300,13,18,,METAR KNZY 181952Z 30013G18KT 10SM FEW034 24/15 A3002 RMK AO2 SLP164 T02440150
2026-09-18T20:52:00Z,2026-09-18T21:53:33Z,290,10,19,,METAR KNZY 182052Z 29010G19KT 10SM FEW034 24/16 A3001 RMK AO2 SLP162 T02440156 56012
2026-09-18T21:52:00Z,2026-09-19T00:39:23Z,270,9,18,,METAR KNZY 182152Z 27009G18KT 10SM FEW030 24/15 A3000 RMK AO2 SLP157 T02440150
2026-09-18T22:52:00Z,2026-09-19T00:39:23Z,280,9,,,METAR KNZY 182252Z 28009KT 10SM FEW030 24/15 A2999 RMK AO2 SLP153 T02390150
2026-09-18T23:52:00Z,2026-09-19T00:39:23Z,300,9,,,METAR KNZY 182352Z 30009KT 10SM FEW027 24/16 A2997 RMK AO2 SLP149 T02390156 10250 20233 56013
2026-09-19T00:52:00Z,2026-09-19T03:34:31Z,290,8,,,METAR KNZY 190052Z 29008KT 10SM FEW025 23/15 A2997 RMK AO2 SLP150 T02280150
2026-09-19T01:52:00Z,2026-09-19T03:34:31Z,310,11,,,METAR KNZY 190152Z 31011KT 10SM FEW025 22/17 A2997 RMK AO2 SLP149 T02170167
2026-09-19T02:52:00Z,2026-09-19T03:34:31Z,300,9,,,METAR KNZY 190252Z 30009KT 10SM SCT020 21/16 A2999 RMK AO2 SLP154 T02110161 53005
2026-09-19T03:22:00Z,2026-09-19T03:34:31Z,310,8,,,SPECI KNZY 190322Z 31008KT 10SM BKN022 21/16 A3000 RMK AO2 T02110161
2026-09-19T03:52:00Z,2026-09-19T04:14:43Z,310,8,,,METAR KNZY 190352Z 31008KT 10SM BKN022 22/16 A2999 RMK AO2 SLP156 T02170161
2026-09-19T04:52:00Z,2026-09-19T05:06:58Z,330,6,,,METAR KNZY 190452Z 33006KT 10SM BKN024 21/16 A2999 RMK AO2 SLP154 T02110161
2026-09-19T07:52:00Z,2026-09-19T07:57:27Z,280,4,,,METAR KNZY 190752Z AUTO 28004KT 10SM OVC027 22/15 A2997 RMK AO2 SLP149 T02170150 402500211
2026-09-19T08:52:00Z,2026-09-19T09:43:36Z,0,0,,,METAR KNZY 190852Z AUTO 00000KT 10SM OVC028 22/15 A2997 RMK AO2 SLP147 T02170150 56006
2026-09-19T09:52:00Z,2026-09-19T13:29:36Z,240,3,,,METAR KNZY 190952Z AUTO 24003KT 10SM OVC027 22/15 A2995 RMK AO2 SLP142 T02170150
2026-09-19T10:52:00Z,2026-09-19T13:29:36Z,230,3,,,METAR KNZY 191052Z AUTO 23003KT 10SM OVC026 21/15 A2995 RMK AO2 SLP141 T02110150
2026-09-19T13:52:00Z,2026-09-19T16:48:56Z,90,4,,,METAR KNZY 191352Z 09004KT 10SM SCT028 19/15 A2995 RMK AO2 SLP143 T01940150
2026-09-19T14:52:00Z,2026-09-19T16:48:56Z,90,6,,,METAR KNZY 191452Z 09006KT 10SM BKN028 BKN220 21/15 A2997 RMK AO2 SLP148 T02060150 53007
2026-09-19T15:35:00Z,2026-09-19T16:48:56Z,100,4,,,SPECI KNZY 191535Z 10004KT 10SM SCT028 BKN220 21/15 A2997 RMK AO2 T02110150
2026-09-19T15:52:00Z,2026-09-19T16:48:56Z,,3,,1,METAR KNZY 191552Z VRB03KT 10SM SCT028 BKN220 22/15 A2997 RMK AO2 SLP150 T02170150
2026-09-19T16:25:00Z,2026-09-19T16:48:56Z,0,0,,,SPECI KNZY 191625Z 00000KT 10SM BKN028 BKN220 22/15 A2998 RMK AO2 T02220150
2026-09-19T16:52:00Z,2026-09-19T19:36:28Z,160,5,,,METAR KNZY 191652Z 16005KT 10SM SCT028 SCT220 23/16 A2998 RMK AO2 SLP150 T02280156
2026-09-19T17:52:00Z,2026-09-19T19:36:28Z,290,5,,,METAR KNZY 191752Z 29005KT 10SM SCT028 SCT220 24/16 A2998 RMK AO2 SLP150 T02390156 10239 20194 51002
2026-09-19T18:52:00Z,2026-09-19T19:36:28Z,270,8,,,METAR KNZY 191852Z 27008KT 10SM FEW028 24/16 A2996 RMK AO2 SLP144 T02390161
2026-09-19T19:52:00Z,2026-09-19T21:46:50Z,290,10,,,METAR KNZY 191952Z 29010KT 10SM FEW028 25/16 A2995 RMK AO2 SLP140 T02500156
2026-09-19T20:52:00Z,2026-09-19T21:46:50Z,270,10,,,METAR KNZY 192052Z 27010KT 10SM FEW028 24/16 A2993 RMK AO2 SLP133 T02390161 58017
2026-09-19T21:52:00Z,2026-09-19T22:18:28Z,290,11,,,METAR KNZY 192152Z 29011KT 10SM CLR 24/16 A2991 RMK AO2 SLP128 T02440156
2026-09-19T23:52:00Z,2026-09-20T05:26:20Z,280,8,,,METAR KNZY 192352Z 28008KT 10SM FEW025 FEW250 23/16 A2990 RMK AO2 SLP124 T02280161 10250 20228 56009
2026-09-20T00:52:00Z,2026-09-20T05:26:20Z,290,8,,,METAR KNZY 200052Z 29008KT 10SM FEW025 FEW280 22/16 A2990 RMK AO2 SLP125 T02220161
2026-09-20T01:52:00Z,2026-09-20T05:26:20Z,290,6,,,METAR KNZY 200152Z 29006KT 10SM SCT020 BKN280 21/16 A2990 RMK AO2 SLP126 T02110161
2026-09-20T02:42:00Z,2026-09-20T05:26:20Z,290,5,,,SPECI KNZY 200242Z 29005KT 10SM SCT017 BKN025 21/17 A2992 RMK AO2 T02110167
2026-09-20T02:52:00Z,2026-09-20T05:26:20Z,280,4,,,METAR KNZY 200252Z COR 28004KT 10SM BKN017 BKN025 21/17 A2992 RMK AO2 SLP130 T02110167 53006
2026-09-20T03:52:00Z,2026-09-20T05:26:20Z,320,5,,,METAR KNZY 200352Z 32005KT 10SM BKN018 BKN280 21/17 A2993 RMK AO2 SLP134 T02060167
2026-09-20T04:52:00Z,2026-09-20T05:26:20Z,290,4,,,METAR KNZY 200452Z 29004KT 10SM BKN018 21/17 A2993 RMK AO2 SLP135 T02110167
2026-09-20T06:52:00Z,2026-09-20T10:06:53Z,0,0,,,METAR KNZY 200652Z AUTO 00000KT 10SM OVC019 21/17 A2992 RMK AO2 SLP131 T02110167
2026-09-20T07:52:00Z,2026-09-20T10:06:53Z,250,3,,,METAR KNZY 200752Z AUTO 25003KT 10SM OVC019 21/17 A2992 RMK AO2 SLP131 T02110167 402500194
2026-09-20T08:52:00Z,2026-09-20T10:06:53Z,250,3,,,METAR KNZY 200852Z AUTO 25003KT 10SM OVC020 21/17 A2992 RMK AO2 SLP131 T02110167 56002
2026-09-20T09:52:00Z,2026-09-20T10:06:53Z,310,3,,,METAR KNZY 200952Z AUTO 31003KT 10SM OVC020 21/16 A2991 RMK AO2 SLP129 T02110161
2026-09-20T10:52:00Z,2026-09-20T13:41:48Z,300,4,,,METAR KNZY 201052Z AUTO 30004KT 10SM OVC021 22/16 A2991 RMK AO2 SLP128 T02170161
2026-09-20T11:52:00Z,2026-09-20T13:41:48Z,350,4,,,METAR KNZY 201152Z AUTO 35004KT 10SM OVC022 21/16 A2991 RMK AO2 SLP126 T02110161 10217 20211 56005
2026-09-20T13:52:00Z,2026-09-20T14:21:33Z,10,3,,,METAR KNZY 201352Z 01003KT 10SM OVC020 21/16 A2994 RMK AO2 SLP136 T02110161
2026-09-20T14:52:00Z,2026-09-20T17:40:43Z,0,0,,,METAR KNZY 201452Z 00000KT 10SM OVC022 21/16 A2995 RMK AO2 SLP142 T02110161 53016
2026-09-20T15:52:00Z,2026-09-20T17:40:43Z,90,4,,,METAR KNZY 201552Z 09004KT 10SM OVC025 22/16 A2996 RMK AO2 SLP144 T02170161
2026-09-20T16:52:00Z,2026-09-20T17:40:43Z,140,3,,,METAR KNZY 201652Z 14003KT 10SM BKN028 22/16 A2996 RMK AO2 SLP146 T02220161
